0.000000	0.232258	clapping
0.232258	0.490323	clapping
0.903226	1.109677	clapping
1.187097	1.974194	clapping
2.154839	2.400000	clapping
2.464516	2.851613	clapping
2.980645	3.303226	clapping
3.406452	3.935484	clapping
4.090323	4.348387	clapping
4.464516	4.800000	clapping
4.851613	5.148387	clapping
5.290323	5.832258	clapping
6.025806	6.696774	clapping
6.787097	7.161290	clapping
7.161290	7.445161	clapping
7.445161	7.793548	clapping
7.922581	8.219355	clapping
8.270968	8.451613	clapping
8.516129	8.916129	clapping
8.967742	9.264516	clapping
9.535484	9.780645	clapping
