0.154839	0.464516	clapping
0.812903	1.316129	clapping
1.406452	1.883871	clapping
1.961290	2.270968	clapping
2.348387	2.916129	clapping
2.916129	3.212903	clapping
3.212903	3.741935	clapping
3.741935	4.090323	clapping
4.090323	4.606452	clapping
4.606452	4.877419	clapping
4.954839	5.445161	clapping
5.574194	5.870968	clapping
6.012903	6.270968	clapping
6.335484	6.632258	clapping
6.683871	7.161290	clapping
7.212903	7.548387	clapping
7.548387	8.012903	clapping
8.077419	8.361290	clapping
8.361290	8.658065	clapping
8.658065	8.916129	clapping
