0.064516	0.425806	clapping
0.425806	0.722581	clapping
0.722581	1.032258	clapping
1.032258	1.367742	clapping
1.432258	1.883871	clapping
1.948387	2.387097	clapping
2.387097	2.812903	clapping
2.877419	3.264516	clapping
3.316129	3.703226	clapping
3.754839	4.116129	clapping
4.116129	4.516129	clapping
4.516129	4.890323	clapping
4.890323	5.264516	clapping
5.264516	5.625806	clapping
5.625806	5.961290	clapping
5.961290	6.270968	clapping
6.270968	6.606452	clapping
6.709677	7.096774	clapping
7.161290	7.600000	clapping
7.651613	8.064516	clapping
8.116129	8.503226	clapping
8.503226	8.941935	clapping
9.006452	9.393548	clapping
9.393548	9.729032	clapping
9.729032	10.000000	clapping
